category,keyword,source,search_intent,trend_score,difficulty,duplicate_risk,created_at,reason,final_score,title,selected_at,topic_type,topic_type_label
excel,엑셀 업데이트 후 발생하는 오류 대처와 롤백 방법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,엑셀 업데이트 후 발생하는 오류 대처와 롤백 방법 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,문제점과 해결방안 슬라이드 만드는 실무 템플릿 10종,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,문제점과 해결방안 슬라이드 만드는 실무 템플릿 10종 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,트러스트 센터 설정으로 PPT 파일 위치 오류 해결,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,트러스트 센터 설정으로 PPT 파일 위치 오류 해결 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,SWOT 분석 포함 문제 해결 PPT 실무 예시,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,SWOT 분석 포함 문제 해결 PPT 실무 예시 원인과 해결 방법,2026-05-12 15:55:45,,
general_it,Git 브랜치 충돌 발생 시 실무 해결 팁,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,Git 브랜치 충돌 발생 시 실무 해결 팁 원인과 해결 방법,2026-05-12 15:55:45,,
excel,엑셀 VLOOKUP 함수 실무 사용법과 오류 해결,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,엑셀 VLOOKUP 함수 실무 사용법과 오류 해결 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,로직 트리 활용한 PPT 문제 해결 기법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,로직 트리 활용한 PPT 문제 해결 기법 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,비즈니스 보고서 PPT 문제 인식부터 해결까지 구조,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,비즈니스 보고서 PPT 문제 인식부터 해결까지 구조 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,3M 모델로 PPT 문제 원인 분석하는 사용법,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,3M 모델로 PPT 문제 원인 분석하는 사용법 사용할 때 알아야 할 것,2026-05-12 15:55:45,,
ppt,실무에서 자주 쓰는 문제 해결 슬라이드 템플릿 커스터마이징,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,실무에서 자주 쓰는 문제 해결 슬라이드 템플릿 커스터마이징 원인과 해결 방법,2026-05-12 15:55:45,,
ppt,PPT 트러스트 센터 설정으로 보안 오류 해결하기,perplexity_questions,problem_solving,100,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,100,PPT 트러스트 센터 설정으로 보안 오류 해결하기 원인과 해결 방법,2026-05-12 15:55:45,,
word,워드 Copilot으로 여러 문서 정보 합성하는 실무 방법,perplexity_questions,how_to,100,low,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,100,워드 Copilot으로 여러 문서 정보 합성하는 실무 방법 사용할 때 알아야 할 것,2026-05-12 15:55:45,,
general_it,VPN 초보자 가입부터 설정까지 단계별 사용법,perplexity_questions,how_to,100,low,low,2026-04-26,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,100,VPN 초보자 가입부터 설정까지 단계별 사용법 처음 시작하는 방법,2026-05-12 15:56:45,,
excel,셀 병합 문제 해결하고 보고서 만들기,perplexity_questions,problem_solving,100,low,low,2026-04-28,문제 해결형 검색어라 방문 의도가 강합니다.,100,셀 병합 문제 해결하고 보고서 만들기 원인과 해결 방법,2026-05-12 15:56:45,,
ppt,초보자용 PowerPoint 단축키 10가지 실무 활용법,perplexity_questions,practical,100,low,low,2026-04-28,실무 활용 의도가 강해 경험형 콘텐츠로 확장하기 좋습니다.,100,초보자용 PowerPoint 단축키 10가지 실무 활용법 처음 시작하는 방법,2026-05-12 15:56:45,,
ppt,PPT 하이퍼링크 설정과 클릭 오류 수정 방법,perplexity_questions,problem_solving,100,low,low,2026-04-28,문제 해결형 검색어라 방문 의도가 강합니다.,100,PPT 하이퍼링크 설정과 클릭 오류 수정 방법 원인과 해결 방법,2026-05-12 15:56:45,,
unity,unity vscode 자동완성 안됨,google_suggest,problem_solving,100,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,unity vscode 자동완성 안됨 원인과 해결 방법,2026-05-12 15:56:45,,
general_it,윈도우 11 디스플레이 설정 오류,google_suggest,problem_solving,100,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 11 디스플레이 설정 오류 원인과 해결 방법,2026-05-12 15:56:45,,
office365,워드 기본적 으로 컴퓨터에 저장 안됨,google_suggest,problem_solving,100,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,워드 기본적 으로 컴퓨터에 저장 안됨 원인과 해결 방법,2026-05-12 15:56:45,,
office365,워드 프로세서 컴퓨터 활용 능력 차이,google_suggest,comparison,100,low,low,2026-05-12,비교 검색 의도가 있어 선택 기준을 설명하는 글로 적합합니다.,100,워드 프로세서 컴퓨터 활용 능력 차이 어떻게 다른가,2026-05-12 15:56:45,,
office365,powerpoint 기본 글꼴 설정,google_suggest,how_to,100,low,low,2026-05-12,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,100,powerpoint 기본 글꼴 설정 제대로 설정하는 방법,2026-05-12 15:56:45,,
unity,Unity 오류 사용법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,Unity 오류 사용법 원인과 해결 방법,2026-05-12 15:56:45,,
unity,Unity 오류 자동화,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,Unity 오류 자동화 원인과 해결 방법,2026-05-12 15:56:45,,
general_it,윈도우 오류 로그 확인 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 오류 로그 확인 방법 원인과 해결 방법,2026-05-12 15:56:45,,
general_it,윈도우 업데이트 오류 해결 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 업데이트 오류 해결 방법 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,윈도우 오류 확인 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 오류 확인 방법 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,윈도우 초기화 오류 해결 방법,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 초기화 오류 해결 방법 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,윈도우 11 기본앱 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 11 기본앱 오류 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,윈도우 기본 사진 앱 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 기본 사진 앱 오류 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,윈도우 시간 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 시간 설정 오류 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,윈도우 11 기본앱 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 11 기본앱 설정 오류 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,윈도우 11 pin 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 11 pin 설정 오류 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,윈도우 pin 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 pin 설정 오류 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,윈도우 11 핀 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 11 핀 설정 오류 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,윈도우 11 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 11 설정 오류 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,윈도우 언어 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,윈도우 언어 설정 오류 원인과 해결 방법,2026-05-12 15:59:20,,
general_it,Windows 오류 사용법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,Windows 오류 사용법 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,Windows 오류 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,Windows 오류 방법 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,Windows 오류 초보,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,Windows 오류 초보 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,Windows 오류 자동화,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,Windows 오류 자동화 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,Windows 오류 설정,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,Windows 오류 설정 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,Windows 오류 실무,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,Windows 오류 실무 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,Windows 오류 활용,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,Windows 오류 활용 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,컴퓨터 오류 해결 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,컴퓨터 오류 해결 방법 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,Windows 오류 기본,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,Windows 오류 기본 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,Windows 오류 정리,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,Windows 오류 정리 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,컴퓨터 시간 설정 오류,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,컴퓨터 시간 설정 오류 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,인터넷 연결 오류 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,인터넷 연결 오류 방법 원인과 해결 방법,2026-05-12 15:59:44,,
general_it,인터넷 연결 오류 사용법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,인터넷 연결 오류 사용법 원인과 해결 방법,2026-05-12 16:06:54,,
general_it,인터넷 연결 오류 초보,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,인터넷 연결 오류 초보 원인과 해결 방법,2026-05-12 16:06:54,,
general_it,인터넷 연결 오류 설정,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,인터넷 연결 오류 설정 원인과 해결 방법,2026-05-12 16:06:54,,
general_it,인터넷 연결 오류 활용,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,인터넷 연결 오류 활용 원인과 해결 방법,2026-05-12 16:06:54,,
general_it,인터넷 연결 오류 자동화,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,인터넷 연결 오류 자동화 원인과 해결 방법,2026-05-12 16:06:54,,
general_it,인터넷 연결 오류 정리,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,인터넷 연결 오류 정리 원인과 해결 방법,2026-05-12 16:06:54,,
general_it,인터넷 연결 오류 실무,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,인터넷 연결 오류 실무 원인과 해결 방법,2026-05-12 16:06:54,,
general_it,인터넷 연결 오류 기본,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,인터넷 연결 오류 기본 원인과 해결 방법,2026-05-12 16:06:54,,
office365,엑셀 오류 없애는 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,엑셀 오류 없애는 방법 원인과 해결 방법,2026-05-12 16:06:54,,
office365,아웃룩 오류날 때 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,아웃룩 오류날 때 방법 원인과 해결 방법,2026-05-12 16:06:54,,
office365,원드라이브 오류 해결방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,원드라이브 오류 해결방법 원인과 해결 방법,2026-05-12 16:06:54,,
office365,원드라이브 오류 복구 방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,원드라이브 오류 복구 방법 원인과 해결 방법,2026-05-12 16:06:54,,
office365,OneDrive 오류 해결방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,OneDrive 오류 해결방법 원인과 해결 방법,2026-05-12 16:07:24,,
office365,onedrive 설정 안 열림,google_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,onedrive 설정 안 열림 제대로 설정하는 방법,2026-05-12 16:07:24,,
office365,one note 해결방법,naver_suggest,problem_solving,100,medium,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,100,one note 해결방법 원인과 해결 방법,2026-05-12 16:07:24,,
excel,엑셀 응답 없음 오류를 안전 모드로 해결하는 단계,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,엑셀 응답 없음 오류를 안전 모드로 해결하는 단계 원인과 해결 방법,2026-05-12 16:07:24,,
excel,엑셀 멈춤 현상 원인과 7가지 실전 해결 팁,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,엑셀 멈춤 현상 원인과 7가지 실전 해결 팁 원인과 해결 방법,2026-05-12 16:07:24,,
excel,엑셀 COM 애드인 비활성화로 충돌 오류 잡기,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,엑셀 COM 애드인 비활성화로 충돌 오류 잡기 원인과 해결 방법,2026-05-12 16:07:24,,
excel,엑셀 통합 문서 검사로 파일 오류 자동 진단,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,엑셀 통합 문서 검사로 파일 오류 자동 진단 원인과 해결 방법,2026-05-12 16:07:24,,
excel,엑셀 XLStart 폴더 파일로 인한 시작 오류 해결,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,엑셀 XLStart 폴더 파일로 인한 시작 오류 해결 원인과 해결 방법,2026-05-12 16:07:24,,
ppt,ppt 오류 153 동영상 플레이어 구성 오류,google_suggest,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,ppt 오류 153 동영상 플레이어 구성 오류 원인과 해결 방법,2026-05-12 16:07:24,,
ppt,PPT 동영상 삽입 실패 문제 4가지 쉬운 해결,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,PPT 동영상 삽입 실패 문제 4가지 쉬운 해결 원인과 해결 방법,2026-05-12 16:07:24,,
ppt,Logic Tree로 문제 분석 PPT 구조화하는 법,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,Logic Tree로 문제 분석 PPT 구조화하는 법 사용할 때 알아야 할 것,2026-05-12 16:07:24,,
ppt,3M Model 문제 해결 PPT 작성 가이드,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,3M Model 문제 해결 PPT 작성 가이드 원인과 해결 방법,2026-05-12 16:07:24,,
ppt,문제 해결 기법 PPT에서 MECE 원칙 적용하기,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,문제 해결 기법 PPT에서 MECE 원칙 적용하기 원인과 해결 방법,2026-05-12 16:08:21,,
ppt,문제 인식부터 실행 계획까지 PPT 7단계 구조,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,문제 인식부터 실행 계획까지 PPT 7단계 구조 사용할 때 알아야 할 것,2026-05-12 16:08:21,,
ppt,프레젠테이션 복구 시도 오류 PPT 고치는 단계별 가이드,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,프레젠테이션 복구 시도 오류 PPT 고치는 단계별 가이드 원인과 해결 방법,2026-05-12 16:08:21,,
word,word 오류 책갈피가 정의되어 있지 않습니다,google_suggest,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,word 오류 책갈피가 정의되어 있지 않습니다 원인과 해결 방법,2026-05-12 16:08:21,,
word,word 오류 참조 원본을 찾을 수 없습니다,google_suggest,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,word 오류 참조 원본을 찾을 수 없습니다 원인과 해결 방법,2026-05-12 16:08:21,,
word,word 에 오류 가 생겨 제대로 작동 할 수 없습니다,google_suggest,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,word 에 오류 가 생겨 제대로 작동 할 수 없습니다 원인과 해결 방법,2026-05-12 16:08:21,,
word,word pdf 오류 로 인해 내 보내지 못했습니다,google_suggest,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,word pdf 오류 로 인해 내 보내지 못했습니다 원인과 해결 방법,2026-05-12 16:08:21,,
word,word 에 문제 가 발생 했습니다,google_suggest,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,word 에 문제 가 발생 했습니다 사용할 때 알아야 할 것,2026-05-12 16:08:21,,
word,word 콘텐츠에 문제가 발견되어,google_suggest,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,word 콘텐츠에 문제가 발견되어 사용할 때 알아야 할 것,2026-05-12 16:08:21,,
word,word 죄송합니다 콘텐츠에 문제가 발견되어,google_suggest,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,word 죄송합니다 콘텐츠에 문제가 발견되어 사용할 때 알아야 할 것,2026-05-12 16:08:21,,
word,워드 서식 깨짐 문제 단계별 해결법,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,워드 서식 깨짐 문제 단계별 해결법 원인과 해결 방법,2026-05-12 16:08:21,,
word,워드 응답 없음 오류 빠른 해결 가이드,perplexity_questions,problem_solving,95,low,low,2026-04-26,문제 해결형 검색어라 방문 의도가 강합니다.,95,워드 응답 없음 오류 빠른 해결 가이드 원인과 해결 방법,2026-05-12 16:08:21,,
unity,unity player dll 오류,google_suggest,problem_solving,95,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,95,unity player dll 오류 원인과 해결 방법,2026-05-12 16:17:04,error_solution,오류 해결형
general_it,윈도우 7 0xc00000f 오류 해결,google_suggest,problem_solving,95,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,95,윈도우 7 0xc00000f 오류 해결 원인과 해결 방법,2026-05-12 16:17:04,error_solution,오류 해결형
general_it,windows 10 업데이트 오류 해결,google_suggest,problem_solving,95,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,95,windows 10 업데이트 오류 해결 원인과 해결 방법,2026-05-12 16:17:04,error_solution,오류 해결형
general_it,핸드폰 관리 하는 방법,google_suggest,how_to,95,medium,low,2026-05-12,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,95,핸드폰 관리 하는 방법 기능과 사용 방법 쉽게 설명,2026-05-12 16:17:04,feature_explanation,기능 설명형
office365,엑셀 자동화 달력 만들기,google_suggest,how_to,95,medium,low,2026-05-12,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,95,엑셀 자동화 달력 만들기 기능과 사용 방법 쉽게 설명,2026-05-12 16:17:04,feature_explanation,기능 설명형
office365,엑셀 자동화 만드는 방법,naver_suggest,how_to,95,medium,low,2026-05-12,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,95,엑셀 자동화 만드는 방법 기능과 사용 방법 쉽게 설명,2026-05-12 16:17:04,feature_explanation,기능 설명형
unity,유니티 를 활용 한 rpg 게임 개발,google_suggest,practical,90,low,low,2026-05-12,실무 활용 의도가 강해 경험형 콘텐츠로 확장하기 좋습니다.,90,유니티 를 활용 한 rpg 게임 개발 실무에서 바로 쓰는 방법,2026-05-12 16:17:04,practical_usage,실무 활용형
unity,유니티 scriptableobject 활용,google_suggest,practical,90,low,low,2026-05-12,실무 활용 의도가 강해 경험형 콘텐츠로 확장하기 좋습니다.,90,유니티 scriptableobject 활용 실무에서 바로 쓰는 방법,2026-05-12 16:17:04,practical_usage,실무 활용형
unity,유니티 를 활용 한 메타 버스 교과서,google_suggest,practical,90,low,low,2026-05-12,실무 활용 의도가 강해 경험형 콘텐츠로 확장하기 좋습니다.,90,유니티 를 활용 한 메타 버스 교과서 실무에서 바로 쓰는 방법,2026-05-12 16:17:04,practical_usage,실무 활용형
office365,microsoft 365 기본 버전 64 비트 차이,google_suggest,comparison,95,low,low,2026-05-12,비교 검색 의도가 있어 선택 기준을 설명하는 글로 적합합니다.,95,microsoft 365 기본 버전 64 비트 차이 차이점과 선택 기준 정리,2026-05-12 16:17:04,comparison_analysis,비교/분석형
python,mac vscode python 설정,google_suggest,comparison,95,low,low,2026-05-12,비교 검색 의도가 있어 선택 기준을 설명하는 글로 적합합니다.,95,mac vscode python 설정 차이점과 선택 기준 정리,2026-05-12 16:17:04,comparison_analysis,비교/분석형
python,우분투 vscode python 설정,google_suggest,comparison,95,low,low,2026-05-12,비교 검색 의도가 있어 선택 기준을 설명하는 글로 적합합니다.,95,우분투 vscode python 설정 차이점과 선택 기준 정리,2026-05-12 16:17:04,comparison_analysis,비교/분석형
general_it,windows 업데이트 오류 해결,google_suggest,problem_solving,95,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,95,windows 업데이트 오류 해결 원인과 해결 방법,2026-05-12 16:18:13,error_solution,오류 해결형
general_it,windows 11 업데이트 오류 해결,google_suggest,problem_solving,95,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,95,windows 11 업데이트 오류 해결 원인과 해결 방법,2026-05-12 16:18:13,error_solution,오류 해결형
general_it,로블록스 인터넷 연결 오류 해결법,google_suggest,problem_solving,95,low,low,2026-05-12,문제 해결형 검색어라 방문 의도가 강합니다.,95,로블록스 인터넷 연결 오류 해결법 원인과 해결 방법,2026-05-12 16:18:13,error_solution,오류 해결형
office365,ai를 활용한 ppt 만들기,google_suggest,how_to,95,medium,low,2026-05-12,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,95,ai를 활용한 ppt 만들기 기능과 사용 방법 쉽게 설명,2026-05-12 16:18:13,feature_explanation,기능 설명형
office365,outlook 정리 방법,google_suggest,how_to,95,medium,low,2026-05-12,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,95,outlook 정리 방법 기능과 사용 방법 쉽게 설명,2026-05-12 16:18:13,feature_explanation,기능 설명형
office365,onenote 활용 방법,google_suggest,how_to,95,medium,low,2026-05-12,사용 방법을 찾는 검색어라 단계별 설명 글로 만들기 좋습니다.,95,onenote 활용 방법 기능과 사용 방법 쉽게 설명,2026-05-12 16:18:13,feature_explanation,기능 설명형
unity,생성형 인공지능을 활용한 유니티 게임 개발,google_suggest,practical,90,low,low,2026-05-12,실무 활용 의도가 강해 경험형 콘텐츠로 확장하기 좋습니다.,90,생성형 인공지능을 활용한 유니티 게임 개발 실무에서 바로 쓰는 방법,2026-05-12 16:18:13,practical_usage,실무 활용형
