platform,title,keyword,tag_keywords,meta_description,search_intent,topic_type,intent_core,intent_detail,status,created_at,output_path,structure_slot,lead_slot,rhythm_slot,style_slot,ending_slot,topic_profile,similarity_score,structural_score,total_penalty,decision,decision_reason,notion_page_id,notion_page_url,notion_sync_status,notion_synced_at
naver,PPT 트러스트 센터 설정으로 보안 오류 해결하기 문제를 줄이는 실무 처리 순서,PPT 트러스트 센터 설정으로 보안 오류 해결하기,,,problem_solving,error_solution,ppt-트러스트-센터-설정으로-보안-오류-해결하기,PPT 트러스트 센터 설정으로 보안 오류 해결하기을/를 problem_solving 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,C:\Projects\BlogAuto\automation\output\2026-05-13_4\03_naver_PPT_트러스트_센터_설정으로_보안_오류_해결하기_문제를_줄이는_실무_처리_순서.txt,decision_guide,decision_guide_lead_4,standard,field_note,conclusion_2,presentation_flow,0.1617,0.2152,0,accepted,no major diversity concentration detected,35fae940-8624-816e-9e82-de12369d251c,https://www.notion.so/PPT-35fae9408624816e9e82de12369d251c,synced,2026-05-13 13:41:57
naver,블렌더 초보자 자주 하는 오류 5가지 자주 생기는 이유와 점검 순서,블렌더 초보자 자주 하는 오류 5가지,,,problem_solving,error_solution,블렌더-초보자-자주-하는-오류-5가지,블렌더 초보자 자주 하는 오류 5가지을/를 problem_solving 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,C:\Projects\BlogAuto\automation\output\2026-05-13_4\01_naver_블렌더_초보자_자주_하는_오류_5가지_자주_생기는_이유와_점검_순서.txt,problem_solution,problem_solution_lead_2,standard,operator_brief,conclusion_2,general_practical,0.3105,0.3169,26,accepted,same rhythm slot as previous output; transition signature repeated; ending slot repeated,35fae940-8624-8119-94b6-f2fe2502b70c,https://www.notion.so/5-35fae9408624811994b6f2fe2502b70c,synced,2026-05-13 13:42:00
naver,셀 병합 문제 해결하고 보고서 만들기 해결 전에 먼저 확인할 것,셀 병합 문제 해결하고 보고서 만들기,,,problem_solving,error_solution,셀-병합-문제-해결하고-보고서-만들기,셀 병합 문제 해결하고 보고서 만들기을/를 problem_solving 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,C:\Projects\BlogAuto\automation\output\2026-05-13_4\04_naver_셀_병합_문제_해결하고_보고서_만들기_해결_전에_먼저_확인할_것.txt,checklist_review,checklist_review_lead_4,action_first,operator_brief,conclusion_2,general_practical,0.2954,0.2836,20,accepted,style slot repeated in recent outputs; ending slot repeated,35fae940-8624-8134-a5eb-f2078f4a5d3a,https://www.notion.so/35fae94086248134a5ebf2078f4a5d3a,synced,2026-05-13 13:42:02
naver,트렐로 알림 설정 안됨 원인과 해결 방법,트렐로 알림 설정 안됨,,,problem_solving,error_solution,트렐로-알림-설정-안됨,트렐로 알림 설정 안됨을/를 problem_solving 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,C:\Projects\BlogAuto\automation\output\2026-05-13_4\02_naver_트렐로_알림_설정_안됨_원인과_해결_방법.txt,checklist_review,checklist_review_lead_2,action_first,operator_brief,conclusion_3,general_practical,0.3712,0.3237,45,accepted,same structure slot as previous output; same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated,35fae940-8624-811d-82e9-c882a8b7bcf0,https://www.notion.so/35fae9408624811d82e9c882a8b7bcf0,synced,2026-05-13 13:42:07
tistory,블렌더 렌더링 메모리 캐시 관리 시작 전에 정해야 할 것들,블렌더 렌더링 메모리 캐시 관리,,,practical,practical_usage,블렌더-렌더링-메모리-캐시-관리,블렌더 렌더링 메모리 캐시 관리을/를 practical 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,C:\Projects\BlogAuto\automation\output\2026-05-13_5\04_tistory_블렌더_렌더링_메모리_캐시_관리_시작_전에_정해야_할_것들.txt,workflow_playbook,workflow_playbook_lead_2,action_first,field_note,conclusion_3,general_practical,0.2731,0.2656,0,accepted,no major diversity concentration detected,35fae940-8624-8194-92f1-c92afe751714,https://www.notion.so/35fae9408624819492f1c92afe751714,synced,2026-05-13 13:58:14
blogspot_kr,ai를 활용한 ppt 만들기 초보자도 이해하기 쉬운 설정과 활용,ai를 활용한 ppt 만들기,,,how_to,feature_explanation,ai를-활용한-ppt-만들기,ai를 활용한 ppt 만들기을/를 how_to 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,C:\Projects\BlogAuto\automation\output\2026-05-13_5\01_blogspot_kr_ai를_활용한_ppt_만들기_초보자도_이해하기_쉬운_설정과_활용.txt,workflow_playbook,workflow_playbook_lead_1,action_first,operator_brief,conclusion_3,presentation_flow,0.2922,0.2781,51,accepted,same structure slot as previous output; same rhythm slot as previous output; transition signature repeated; ending slot repeated; same structure and ending pairing repeated,35fae940-8624-812d-b5d6-cd7afd58ab54,https://www.notion.so/ai-ppt-35fae9408624812db5d6cd7afd58ab54,synced,2026-05-13 13:58:16
blogspot_kr,"언리얼 LOD 설정 자동화 오류 줄이는 순서, 이 지점부터 보세요",언리얼 LOD 설정 자동화,,,how_to,feature_explanation,언리얼-lod-설정-자동화,언리얼 LOD 설정 자동화을/를 how_to 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,"C:\Projects\BlogAuto\automation\output\2026-05-13_5\02_blogspot_kr_언리얼_LOD_설정_자동화_오류_줄이는_순서,_이_지점부터_보세요.txt",problem_solution,problem_solution_lead_2,evidence_led,operator_brief,conclusion_1,game_dev,0.2485,0.2311,12,accepted,style slot repeated in recent outputs,35fae940-8624-810e-842d-e3bc5a5b2c55,https://www.notion.so/LOD-35fae9408624810e842de3bc5a5b2c55,synced,2026-05-13 13:58:18
blogspot_kr,스마트폰 기본브라우저 설정 처음 시작할 때 알아두면 좋은 사용법,스마트폰 기본브라우저 설정,,,how_to,feature_explanation,스마트폰-기본브라우저-설정,스마트폰 기본브라우저 설정을/를 how_to 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,C:\Projects\BlogAuto\automation\output\2026-05-13_5\03_blogspot_kr_스마트폰_기본브라우저_설정_처음_시작할_때_알아두면_좋은_사용법.txt,problem_solution,problem_solution_lead_5,risk_led,checklist_mode,conclusion_3,general_practical,0.3002,0.3095,23,accepted,same structure slot as previous output; transition signature repeated,35fae940-8624-8120-b1c2-c516e5dba922,https://www.notion.so/35fae94086248120b1c2c516e5dba922,synced,2026-05-13 13:58:21
tistory,노션으로 주간 플래너와 할 일 목록 자동화 실무에서 바로 쓰는 방법,노션으로 주간 플래너와 할 일 목록 자동화,,,practical,practical_usage,노션으로-주간-플래너와-할-일-목록-자동화,노션으로 주간 플래너와 할 일 목록 자동화을/를 practical 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,C:\Projects\BlogAuto\automation\output\2026-05-13_6\01_tistory_노션으로_주간_플래너와_할_일_목록_자동화_실무에서_바로_쓰는_방법.txt,workflow_playbook,workflow_playbook_lead_5,action_first,field_note,conclusion_2,collaboration_system,0.3327,0.3464,0,accepted,no major diversity concentration detected,35fae940-8624-8169-8de0-e1ab8672203f,https://www.notion.so/35fae940862481698de0e1ab8672203f,synced,2026-05-13 14:53:58
tistory,vs 코드 파이썬 설정 차이점과 선택 기준 정리,vs 코드 파이썬 설정,,,comparison,comparison_analysis,vs-코드-파이썬-설정,vs 코드 파이썬 설정을/를 comparison 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,C:\Projects\BlogAuto\automation\output\2026-05-13_6\03_tistory_vs_코드_파이썬_설정_차이점과_선택_기준_정리.txt,decision_guide,decision_guide_lead_2,action_first,field_note,conclusion_2,general_practical,0.4451,0.3768,30,accepted,same rhythm slot as previous output; style slot repeated in recent outputs; ending slot repeated,35fae940-8624-81f5-8863-dc40e8b62c15,https://www.notion.so/vs-35fae940862481f58863dc40e8b62c15,synced,2026-05-13 14:54:00
tistory,블렌더 렌더 엔진 Cycles vs Eevee 선택 기준 차이점과 선택 기준 정리,블렌더 렌더 엔진 Cycles vs Eevee 선택 기준,,,comparison,comparison_analysis,블렌더-렌더-엔진-cycles-vs-eevee-선택-기준,블렌더 렌더 엔진 Cycles vs Eevee 선택 기준을/를 comparison 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,C:\Projects\BlogAuto\automation\output\2026-05-13_6\02_tistory_블렌더_렌더_엔진_Cycles_vs_Eevee_선택_기준_차이점과_선택_기준_정리.txt,checklist_review,checklist_review_lead_3,action_first,operator_brief,conclusion_2,general_practical,0.4878,0.4232,26,accepted,same rhythm slot as previous output; transition signature repeated; ending slot repeated,35fae940-8624-81ef-bd07-f20e9bf27e02,https://www.notion.so/Cycles-vs-Eevee-35fae940862481efbd07f20e9bf27e02,synced,2026-05-13 14:54:03
blogspot_kr,unity awake start 차이 차이점과 선택 기준 정리,unity awake start 차이,,,comparison,comparison_analysis,unity-awake-start-차이,unity awake start 차이을/를 comparison 목적으로 쉽게 이해하고 활용,drafted,2026-05-13,C:\Projects\BlogAuto\automation\output\2026-05-13_6\04_blogspot_kr_unity_awake_start_차이_차이점과_선택_기준_정리.txt,decision_guide,decision_guide_lead_3,action_first,field_note,conclusion_1,game_dev,0.2984,0.3075,30,accepted,same rhythm slot as previous output; style slot repeated in recent outputs; transition signature repeated,35fae940-8624-81af-b9d9-f4b5f04e8e2f,https://www.notion.so/unity-awake-start-35fae940862481afb9d9f4b5f04e8e2f,synced,2026-05-13 14:54:05
